timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1641445064.557,84.473,4.395,70.312,81.543,0.000,0
1641445064.561,-95.215,-45.410,17.090,-86.426,0.000,0
1641445064.565,-242.676,-77.148,-38.086,-234.863,0.000,0
1641445064.569,-123.535,-41.016,-11.230,-140.625,0.000,0
1641445064.573,89.355,7.324,56.152,63.477,0.000,0
1641445064.577,-16.602,-17.090,39.551,-19.531,0.000,0
1641445064.577,-235.840,-67.871,-23.438,-233.887,0.000,0
1641445064.581,-186.035,-57.617,-20.996,-198.730,0.000,0
1641445064.585,40.527,-5.371,41.504,26.855,0.000,0
1641445064.589,33.203,-4.883,48.340,41.016,0.000,0
1641445064.593,-203.125,-65.430,-24.414,-194.824,0.000,0
1641445064.597,-229.004,-78.125,-38.574,-244.629,0.000,0
1641445064.600,-22.461,-37.598,19.531,-39.551,0.000,0
1641445064.604,69.824,-0.488,57.617,81.055,0.000,0
1641445064.608,-152.832,-37.598,-1.465,-140.137,0.000,0
1641445064.612,-244.629,-81.055,-45.410,-240.234,0.000,0
1641445064.616,-76.172,-45.410,3.418,-84.961,0.000,0
1641445064.620,97.168,9.277,73.730,85.449,0.000,0
1641445064.620,-82.031,-27.832,30.273,-67.871,0.000,0
1641445064.624,-250.488,-75.195,-32.227,-244.629,0.000,0
